Typical Measured Spectrum of Semrock FF01-590/36 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

459.6	1.0e-07
459.8	1.0e-07
460.0	1.0e-07
460.2	1.0e-07
460.4	1.0e-07
460.6	1.0e-07
460.8	1.0e-07
461.0	1.0e-07
461.2	1.0e-07
461.4	1.0e-07
461.6	1.0e-07
461.8	1.0e-07
462.0	1.0e-07
462.2	1.0e-07
462.4	1.0e-07
462.6	1.0e-07
462.8	1.0e-07
463.0	1.0e-07
463.2	1.0e-07
463.4	1.0e-07
463.6	1.0289e-07
463.8	1.0733e-07
464.0	1.1196e-07
464.2	1.1679e-07
464.4	1.2183e-07
464.6	1.2709e-07
464.8	1.3257e-07
465.0	1.3829e-07
465.2	1.4425e-07
465.4	1.5048e-07
465.6	1.5697e-07
465.8	1.6374e-07
466.0	1.7081e-07
466.2	1.7817e-07
466.4	1.8586e-07
466.6	1.9388e-07
466.8	2.0224e-07
467.0	2.1097e-07
467.2	2.2007e-07
467.4	2.2957e-07
467.6	2.3962e-07
467.8	2.5143e-07
468.0	2.6383e-07
468.2	2.7684e-07
468.4	2.9049e-07
468.6	3.0482e-07
468.8	3.1985e-07
469.0	3.3562e-07
469.2	3.5217e-07
469.4	3.6953e-07
469.6	3.8775e-07
469.8	4.0687e-07
470.0	4.2693e-07
470.2	4.4799e-07
470.4	4.7008e-07
470.6	4.886e-07
470.8	4.95e-07
471.0	5.0149e-07
471.2	5.0806e-07
471.4	5.1471e-07
471.6	5.2145e-07
471.8	5.2828e-07
472.0	5.352e-07
472.2	5.4222e-07
472.4	5.4932e-07
472.6	5.5651e-07
472.8	5.638e-07
473.0	5.7119e-07
473.2	5.7867e-07
473.4	5.8625e-07
473.6	5.9393e-07
473.8	6.0171e-07
474.0	6.096e-07
474.2	6.1758e-07
474.4	6.218e-07
474.6	6.2489e-07
474.8	6.2799e-07
475.0	6.3111e-07
475.2	6.3424e-07
475.4	6.3739e-07
475.6	6.4055e-07
475.8	6.4373e-07
476.0	6.4693e-07
476.2	6.5014e-07
476.4	6.5337e-07
476.6	6.5661e-07
476.8	6.5987e-07
477.0	6.6314e-07
477.2	6.6644e-07
477.4	6.6975e-07
477.6	6.7307e-07
477.8	6.7641e-07
478.0	6.8055e-07
478.2	6.8675e-07
478.4	6.93e-07
478.6	6.9931e-07
478.8	7.0568e-07
479.0	7.1211e-07
479.2	7.1859e-07
479.4	7.2514e-07
479.6	7.3174e-07
479.8	7.384e-07
480.0	7.4513e-07
480.2	7.5191e-07
480.4	7.5876e-07
480.6	7.6567e-07
480.8	7.7264e-07
481.0	7.7968e-07
481.2	7.8678e-07
481.4	7.9394e-07
481.6	8.0117e-07
481.8	8.0698e-07
482.0	8.1244e-07
482.2	8.1793e-07
482.4	8.2347e-07
482.6	8.2904e-07
482.8	8.3465e-07
483.0	8.4029e-07
483.2	8.4598e-07
483.4	8.517e-07
483.6	8.5746e-07
483.8	8.6326e-07
484.0	8.691e-07
484.2	8.7498e-07
484.4	8.809e-07
484.6	8.8686e-07
484.8	8.9286e-07
485.0	8.989e-07
485.2	9.0498e-07
485.4	9.1196e-07
485.6	9.2077e-07
485.8	9.2967e-07
486.0	9.3865e-07
486.2	9.4772e-07
486.4	9.5688e-07
486.6	9.6613e-07
486.8	9.7546e-07
487.0	9.8489e-07
487.2	9.9441e-07
487.4	1.004e-06
487.6	1.0137e-06
487.8	1.0235e-06
488.0	1.0334e-06
488.2	1.0434e-06
488.4	1.0535e-06
488.6	1.0637e-06
488.8	1.0739e-06
489.0	1.0843e-06
489.2	1.0008e-06
489.4	9.1089e-07
489.6	8.2905e-07
489.8	7.5456e-07
490.0	6.8677e-07
490.2	6.2506e-07
490.4	5.689e-07
490.6	5.1779e-07
490.8	4.7127e-07
491.0	4.2892e-07
491.2	3.9039e-07
491.4	3.5531e-07
491.6	3.2339e-07
491.8	2.9433e-07
492.0	2.6789e-07
492.2	2.4382e-07
492.4	2.2191e-07
492.6	2.0197e-07
492.8	1.8383e-07
493.0	1.6731e-07
493.2	1.5228e-07
493.4	1.386e-07
493.6	1.3438e-07
493.8	1.344e-07
494.0	1.3443e-07
494.2	1.3446e-07
494.4	1.3449e-07
494.6	1.3452e-07
494.8	1.3455e-07
495.0	1.3458e-07
495.2	1.3461e-07
495.4	1.3464e-07
495.6	1.3467e-07
495.8	1.3469e-07
496.0	1.3472e-07
496.2	1.3475e-07
496.4	1.3478e-07
496.6	1.3481e-07
496.8	1.3484e-07
497.0	1.3488e-07
497.2	1.3538e-07
497.4	1.3589e-07
497.6	1.364e-07
497.8	1.3691e-07
498.0	1.3743e-07
498.2	1.3794e-07
498.4	1.3846e-07
498.6	1.3898e-07
498.8	1.395e-07
499.0	1.4002e-07
499.2	1.4055e-07
499.4	1.4108e-07
499.6	1.416e-07
499.8	1.4214e-07
500.0	1.4267e-07
500.2	1.432e-07
500.4	1.4374e-07
500.6	1.4428e-07
500.8	1.4482e-07
501.0	1.4537e-07
501.2	1.4591e-07
501.4	1.4646e-07
501.6	1.4701e-07
501.8	1.4756e-07
502.0	1.4811e-07
502.2	1.4838e-07
502.4	1.4865e-07
502.6	1.4892e-07
502.8	1.4919e-07
503.0	1.4946e-07
503.2	1.4973e-07
503.4	1.5e-07
503.6	1.5027e-07
503.8	1.5054e-07
504.0	1.5082e-07
504.2	1.5109e-07
504.4	1.5136e-07
504.6	1.5164e-07
504.8	1.5191e-07
505.0	1.5219e-07
505.2	1.5246e-07
505.4	1.5274e-07
505.6	1.5302e-07
505.8	1.533e-07
506.0	1.5357e-07
506.2	1.5385e-07
506.4	1.5413e-07
506.6	1.5441e-07
506.8	1.5469e-07
507.0	1.5497e-07
507.2	1.5485e-07
507.4	1.5474e-07
507.6	1.5462e-07
507.8	1.5451e-07
508.0	1.5439e-07
508.2	1.5428e-07
508.4	1.5416e-07
508.6	1.5405e-07
508.8	1.5394e-07
509.0	1.5382e-07
509.2	1.5371e-07
509.4	1.5359e-07
509.6	1.5348e-07
509.8	1.5337e-07
510.0	1.5325e-07
510.2	1.5314e-07
510.4	1.5303e-07
510.6	1.5291e-07
510.8	1.528e-07
511.0	1.5269e-07
511.2	1.5258e-07
511.4	1.5246e-07
511.6	1.5235e-07
511.8	1.5224e-07
512.0	1.521e-07
512.2	1.5191e-07
512.4	1.5172e-07
512.6	1.5153e-07
512.8	1.5134e-07
513.0	1.5115e-07
513.2	1.5096e-07
